hidden_size,n_layers,learning_rate,normalized_output,Objective,loss,moving_average,weighting_scheme
512,9,1e-05,False,MSELoss,dirichlet,8.310031489600078e-07,[1.59462041e-06]
512,9,1e-05,False,MSELoss,uniform,1.0822399190146825e-06,[1.44124555e-06]
512,9,1e-05,False,L1Loss,dirichlet,0.0004690235364250839,[0.0005071]
512,9,1e-05,False,L1Loss,uniform,0.00043946897494606674,[0.0005222]
512,6,0.001,True,MSELoss,dirichlet,0.005704459268599749,[5.e+19]
512,6,0.001,True,MSELoss,uniform,0.007545018568634987,[5.e+19]
512,6,0.001,True,L1Loss,dirichlet,0.030006559565663338,[2.5e+19]
512,6,0.001,True,L1Loss,uniform,0.044002726674079895,[5.e+19]
512,6,0.001,False,MSELoss,dirichlet,12.762584686279297,[5.e+19]
512,6,0.001,False,MSELoss,uniform,0.06157469376921654,[5.e+19]
512,6,0.001,False,L1Loss,dirichlet,0.28661584854125977,[5.e+19]
512,6,0.001,False,L1Loss,uniform,0.47418367862701416,[5.e+19]
512,6,0.0001,True,MSELoss,dirichlet,0.001226642751134932,[3.72529032e+11]
512,6,0.0001,True,MSELoss,uniform,0.0006190405110828578,[1.40967376e+14]
512,6,0.0001,True,L1Loss,dirichlet,0.001744513981975615,[45474735.09143844]
512,6,0.0001,True,L1Loss,uniform,0.0028185646515339613,[1.22070312e+16]
512,6,0.0001,False,MSELoss,dirichlet,2.963752376672346e-05,[9.765625e+16]
512,6,0.0001,False,MSELoss,uniform,0.0005124954623170197,[2.5e+19]
512,6,0.0001,False,L1Loss,dirichlet,0.00030543137108907104,[0.00037449]
512,6,0.0001,False,L1Loss,uniform,0.0002739874180406332,[0.00033586]
512,6,1e-05,True,MSELoss,dirichlet,0.0002175265981350094,[0.00303738]
512,6,1e-05,True,MSELoss,uniform,5.827104178024456e-05,[88817.84206919]
512,6,1e-05,True,L1Loss,dirichlet,0.0007591332541778684,[0.00084985]
512,6,1e-05,True,L1Loss,uniform,0.0007188673480413854,[0.00078715]
512,6,1e-05,False,MSELoss,dirichlet,1.0073048315462074e-06,[1.56570171e-06]
512,6,1e-05,False,MSELoss,uniform,2.1792823190480703e-06,[2.58711159e-06]
512,6,1e-05,False,L1Loss,dirichlet,0.0004577804356813431,[0.00048805]
512,6,1e-05,False,L1Loss,uniform,0.00040049056406132877,[0.00042019]
